tid,attribute,correct_val
9780321247445,author_list,matt bishop
9780321256195,title,windows system programming (3rd edition)
9780321256195,author_list,johnson m. hart
9780321256638,title,swt: the standard widget toolkit; vol 1
9780321256638,author_list,steve northover; mike wilson
9780321262516,title,storage virtualization: technologies for simplifying data storage and management
9780321262516,author_list,tom clark
9780321263582,title,computer networking and the internet (5th edition)
9780321263582,author_list,fred halsall
9780321268174,title,file system forensic analysis
9780321268174,author_list,brian carrier
9780321268389,title,official eclipse 3.0 faqs
9780321268389,author_list,john arthorne; chris laffra
9780321268631,title,developing scalable series 40 applications: a guide for java developers
9780321268631,author_list,michael juntao yuan; kevin sharp
9780321268778,title,collaboration explained: facilitation skills for software project leaders
9780321268778,author_list,jean tabaka
9780321294319,title,rootkits: subverting the windows kernel
9780321294319,author_list,greg hoglund; james butler
9780321294326,title,java(tm) class libraries poster; java 2 platform enterprise edition; version 1.4; the (3rd edition) (java series)
9780321294326,author_list,patrick chan; rosanna lee
9780321304513,title,the executive guide to information security: threats; challenges; and solutions
9780321304513,author_list,mark egan; tim mather
9780321304520,title,mapping security: the corporate security sourcebook for today's global economy
9780321304520,author_list,tom patterson; scott gleeson blue
9780321304865,title,the art of software security testing: identifying software security flaws
9780321304865,author_list,elfriede dustin; lucas nelson; chris wysopal
9780321305015,title,windows server 2003 security : a technical reference
9780321305015,author_list,roberta bragg
9780321305497,title,psp(sm): a self-improvement process for software engineers
9780321305497,author_list,watts s. humphrey
9780321320735,title,cryptography in the database : the last line of defense
9780321320735,author_list,kevin kenan
9780321321305,title,agility and discipline made easy: practices from openup and rup
9780321321305,author_list,per kroll bruce macisaac
9780321321312,title,the software development edge: essays on managing successful projects
9780321321312,author_list,joe marasco
9780321321350,title,web usability a user-centered design approach
9780321321350,author_list,jonathan lazar
9780321321367,title,data mining
9780321321367,author_list,pang-ning tan; michael steinbach; vipin kumar
9780321321374,title,interactive computer graphics : a top-down approach using opengl (4th edition)
9780321321374,author_list,edward angel
9780321330239,title,absolute c++ (2nd edition)
9780321330239,author_list,walter savitch
9780321330246,title,absolute java
9780321330246,author_list,walter savitch
9780321334619,title,eclipse rich client platform: designing; coding; and packaging java applications
9780321334619,author_list,jeff mcaffer; jean_michel lemieux
9780321334879,title,effective c++
9780321334879,author_list,scott meyers
9780321334886,title,net programming for office: using c# with excel; word; outlook; andinfopath
9780321334886,author_list,eric carter; eric lippert
9780321336781,title,java puzzlers: traps; pitfalls; and corner cases
9780321336781,author_list,joshua bloch; neal gafter
9780321340795,title,computer systems architecture a networking approach
9780321340795,author_list,rob williams
9780321341389,title,net internationalization: the developerandapos;s guide to building global windows and web applications
9780321341389,author_list,guy smith-ferrier
9780321349804,title,the java programming language; 4th edition
9780321349804,author_list,arnold ken; gosling james
9780321349958,title,securing storage : a practical guide to san and nas security
9780321349958,author_list,himanshu dwivedi
9780321349965,title,extrusion detection : security monitoring for internal intrusions
9780321349965,author_list,richard bejtlich
9780321350176,title,the .net developerandapos;s guide to directory services programming
9780321350176,author_list,joe kaplan; ryan dunn
9780321356703,title,software security : building security in
9780321356703,author_list,gary mcgraw
9780321382184,title,a developer's guide to sql server 2005
9780321382184,author_list,bob beauchemin; dan sullivan
9780321398666,title,advanced vb.net alternate with vb.net cd's (3rd edition)
9780321398666,author_list,kip irvine; tony gaddis
9780321399830,title,essential windows workflow foundation
9780321399830,author_list,dharma shukla; bobby schmidt
9780321410139,title,introduction to software engineering design: processes; principles and patterns with uml2
9780321410139,author_list,christopher fox
9780321412997,title,the c++ standard library extensions : a tutorial and reference
9780321412997,author_list,pete becker
9780321423436,title,moving to free software
9780321423436,author_list,marcel gagne
9780321426420,title,own your space : keep your data and yourself safe online
9780321426420,author_list,linda mccarthy
9780321427229,title,moving to ubuntu linux
9780321427229,author_list,marcel gagne
9780321437297,title,innovation games: creating breakthrough products through collaborative play
9780321437297,author_list,luke hohmann
9780321440303,title,the old new thing: practical development throughout the evolution of windows
9780321440303,author_list,raymond chen
9780321447746,title,sql server 2005 practical troubleshooting : the database engine
9780321447746,author_list,ken henderson
9780321466754,title,why software sucks...and what you can do about it
9780321466754,author_list,davids platt
9780340613986,title,designing computer programs
9780340613986,author_list,jim haigh
9780672321467,title,oracle performance tuning
9780672321467,author_list,edward whalen; mitchell schroeter
9780672322167,title,understanding data communications (7th edition)
9780672322167,author_list,gilbert held
9780672322266,title,embedded linux: hardware; software; and interfacing
9780672322266,author_list,craig hollabaugh
9780672323423,title,micro java(tm) game development
9780672323423,author_list,david fox;roman verhovsek
9780672323546,title,jsp(tm) and xml: integrating xml and web services in your jsp application
9780672323546,author_list,casey kochmer; erica frandsen
9780750658553,title,mathematics for electrical engineering and computing
9780750658553,author_list,mary attenborough
9780750658959,title,e.biz: the anatomy of electronic business
9780750658959,author_list,geoffrey sampson
9780750660754,title,software design methodology : from principles to architectural styles
9780750660754,author_list,hong zhu
9780750661232,title,student guide to object-oriented development
9780750661232,author_list,carol britton
9780750661317,title,students essential guide to .net
9780750661317,author_list,tony grimer
9780750661409,title,value creation from e-business models
9780750661409,author_list,wendy currie
9780750661416,title,past and future of information systems
9780750661416,author_list,kim viborg andersen; morten thanning vendelo
9780750664714,title,real-time systems development
9780750664714,author_list,rob williams
9780750665070,title,competitive engineering: a handbook for systems engineering; requirements engineering; and software engineering using planguage
9780750665070,author_list,tom gilb
9780750667319,title,an introduction to e-business : management and strategy
9780750667319,author_list,colin combe
9780750670067,title,rechargeable batteries applications handbook (edn series for design engineers) (edn series for design engineers)
9780750670067,author_list,gates energy products
9780750670623,title,the art and science of analog circuit design (edn series for design engineers)
9780750670623,author_list,jim williams
9780750670630,title,inside orcad capture for windows (edn series for design engineers)
9780750670630,author_list,chris schroeder
9780750673297,title,power supply cookbook (edn series for design engineers)
9780750673297,author_list,marty brown
9780750674034,title,electromagnetics explained : a handbook for wireless/ rf; emc; and high-speed electronics (edn series for design engineers)
9780750674034,author_list,ron schmitt
9780750676137,title,investigative data mining for security and criminal detection
9780750676137,author_list,jesus mena
9780750677462,title,bulletproof wireless security; first edition : gsm; umts; 802.11; and ad hoc security (communications engineering)
9780750677462,author_list,praphul chandra
9780750677561,title,excel by example a microsoft excel cookbook for electronics engineers
9780750677561,author_list,aubrey kagan
9780750678483,title,trojans; worms; and spyware: a computer security professional's guide to malicious code
9780750678483,author_list,michael erbschloe
9780750681841,title,basic computing with windows xp: learning made simple
9780750681841,author_list,p k mcbride
9780750681858,title,spreadsheets with excel : learning made simple
9780750681858,author_list,stephen morris
9780750681865,title,databases with access: learning made simple
9780750681865,author_list,moira stephen
9780750681872,title,word processing with word: learning made simple
9780750681872,author_list,keith brindley
9780750681889,title,presentations with powerpoint
9780750681889,author_list,moira stephen
9780750690898,title,designus maximus unleashed! (edn series for design engineers)
9780750690898,author_list,clive maxfield
9780750695084,title,simplified design of ic amplifiers (edn series for design engineers)
9780750695084,author_list,john lenk
9780750696401,title,analog circuit design : art; science and personalities (edn series for design engineers)
9780750696401,author_list,jim williams
9780750697002,title,inside orcad (edn series for design engineers)
9780750697002,author_list,chris schroeder
9780805325478,title,artificial intelligence: theory and practice
9780805325478,author_list,thomas dean
9780073516677,title,computing essentials 2007; complete edition (o'leary series)
9780073516677,author_list,timothy j o'leary; linda i o'leary
9780072999389,title,computer accounting essentials using epeachtree
9780072999389,author_list,yacht; carol; crosson; susan
9780072922363,title,fundamentals of finite element analysis
9780072922363,author_list,david v. hutton; david hutton
9780072843996,title,i-series: ms windows xp: complete
9780072843996,author_list,barrie sosinsky unknown; stephen haag; james t perry; efren estevez;
9780072466850,title,an introduction to the finite element method (mcgraw hill series in mechanical engineering)
9780072466850,author_list,j. n. reddy
9780072255096,title,principles of computer security: security+ and beyond
9780072255096,author_list,gregory white; roger davis; art conklin; dwayne williams; chuck cothren
9780072230611,title,windows server 2003 (hacking exposed)
9780072230611,author_list,joel scambray; stuart mcclure
9780071357814,title,schaum's outline of computer graphics
9780071357814,author_list,zhigang xiang; roy a. plastock
9781576761069,title,a+ operating systems for technicians
9781576761069,author_list,cheryl a. schmidt; todd meadors; meadors
9781558609013,title,data mining; second edition; second edition : concepts and techniques (the morgan kaufmann series in data management systems) (the morgan kaufmann series in data management systems)
9781558609013,author_list,jiawei han; micheline kamber
9781558608894,title,innovation happens elsewhere : open source as business strategy
9781558608894,author_list,ron goldman; richard p. gabriel
9781558608108,title,ipv6; second edition: theory; protocol; and practice; 2nd edition (the morgan kaufmann series in networking)
9781558608108,author_list,pete loshin
9781558607873,title,non-photorealistic computer graphics: modeling; rendering and animation (the morgan kaufmann series in computer graphics and geometric modeling)
9781558607873,author_list,thomas strothotte; stefan schlechtweg
9781558607583,title,business process change: a manager's guide to improving; redesigning; and automating processes (the morgan kaufmann series in data management systems)
9781558607583,author_list,paul harmon
9781558606975,title,managing reference data in enterprise databases
9781558606975,author_list,malcolm chisholm
9781558606487,title,distributed systems architecture: a middleware approach
9781558606487,author_list,arno puder; kay r&atilde; mer; frank pilhofer
9781558606364,title,skew-tolerant circuit design (the morgan kaufmann series in computer architecture and design)
9781558606364,author_list,david harris
9781558605152,title,database design for smarties: using uml for data modeling (the morgan kaufmann series in data management systems)
9781558605152,author_list,robert j. muller
9781558603752,title,wavelets for computer graphics (the morgan kaufmann series in computer graphics)
9781558603752,author_list,stollnitz; eric j.; derose; tony d.; salesin; david h.
9781558603042,title,active database systems: triggers and rules for advanced database processing (the morgan kaufmann series in data management systems)
9781558603042,author_list,jennifer widom stefano ceri
9781558601369,title,cache and memory hierarchy design : a performance directed approach (the morgan kaufmann series in computer architecture and design)
9781558601369,author_list,steven a. przybylski
9781555583279,title,physical security for it
9781555583279,author_list,michael erbschloe
9781555582999,title,leveraging wmi scripting : using windows management instrumentation to solve windows management problems (hp technologies)
9781555582999,author_list,alain lissoir
9781555582791,title,getting started with openvms: a guide for new users
9781555582791,author_list,michael d. duffy
9781555580414,title,common lisp : the language; second edition
9781555580414,author_list,guy steele
9780750699389,title,managing legal and security risks in computers and communications
9780750699389,author_list,paul shaw
9780750694995,title,troubleshooting analog circuits (edn series for design engineers)
9780750694995,author_list,robert a. pease
9780750677950,title,risk management for computer security : protecting your network and information assets
9780750677950,author_list,andy jones; debi ashenden; debi ashenden
9780750664554,title,managing stakeholders in software development projects (the computer weekly professional series)
9780750664554,author_list,john mcmanus
9780750656832,title,applying uml: advanced applications
9780750656832,author_list,rob pooley; pauline wilcox
9780672323430,title,database access with visual basic .net (3rd edition)
9780672323430,author_list,jeffrey p. mcmanus; jackie goldstein
9780321444424,title,the art of software security assessment : identifying and avoiding software vulnerabilities
9780321444424,author_list,dowd mark; mcdonald john
9780321418708,title,software security library boxed set; first edition
9780321418708,author_list,gary mcgraw; greg hoglund; john viega
9780321397973,title,administratorandapos;s guide to sql server 2005
9780321397973,author_list,buck woody
9780321356413,title,the symantec guide to home internet security
9780321356413,author_list,andrew conry-murray; vincent weafer
9780321335722,title,secure coding in c and c++
9780321335722,author_list,robert seacord
9780321322210,title,languages and machines: an introduction to the theory of computer science (3rd edition)
9780321322210,author_list,thomas a. sudkamp
9780321312839,title,principles of concurrent and distributed programming
9780321312839,author_list,mordechai ben-ari
9780321304292,title,internet effectively: a beginner's guide to the world wide web
9780321304292,author_list,tyrone adams; sharon scollard
9780321287502,title,the guru's guide to sql server boxed set
9780321287502,author_list,ken henderson
9780321263544,title,distributed systems: concepts and design (4th edition)
9780321263544,author_list,george coulouris; jean dollimore; tim kindberg
9780321245441,title,vpns illustrated: tunnels; vpns; and ipsec
9780321245441,author_list,jon c. snader
9780321228109,title,open sourcenet development programming with nant; nunit; ndoc; and more
9780321228109,author_list,brian nantz
9780321219763,title,aspect-oriented software development
9780321219763,author_list,robert e. filman; tzilla elrad; siobhan clarke; mehmet aksit
9780321205216,title,designing web services with the j2ee 1.4 platform: jax-rpc; soap; and xml technologies
9780321205216,author_list,inderjeet singh; sean brydon; greg murray; vijay ramachandran; thierry viol
9780321194985,title,oracle 9i programming: a primer
9780321194985,author_list,rajshekhar sunderraman
9780321181435,title,user interface design : a software engineering perspective
9780321181435,author_list,soren lauesen
9780321165817,title,xquery: the xml query language
9780321165817,author_list,michael brundage
9780321150400,title,effective xml: 50 specific ways to improve your xml
9780321150400,author_list,elliotte rusty harold
9780321126986,title,inside windows storage: server storage technologies for windows server 2003; windows 2000 and beyond
9780321126986,author_list,dilip naik
9780321112293,title,software systems architecture: working with stakeholders using viewpoints and perspectives
9780321112293,author_list,nick rozanski; eoin woods
9780201889543,title,the c++ programming language (3rd edition)
9780201889543,author_list,bjarne stroustrup
9780201823769,title,unix for the impatient (2nd edition)
9780201823769,author_list,paul w. abrahams; bruce r. larson
9780201767919,title,software engineering and computer games
9780201767919,author_list,rudy rucker
9780201749601,title,xml topic maps: creating and using topic maps for the web
9780201749601,author_list,jack park; sam hunting
9780201734959,title,building applications and components with visual basic .net
9780201734959,author_list,ted pattison; joe hummel
9780201722291,title,performance solutions: a practical guide to creating responsive; scalable software
9780201722291,author_list,connie u. smith lloyd g. williams connie smith lloyd williams
9780201715842,title,practical oracle 8i: building efficient databases
9780201715842,author_list,jonathan lewis
9780201704471,title,human-computer interaction in the new millennium
9780201704471,author_list,john m. carroll
9780201699715,title,the ace programmer's guide: practical design patterns for network and systems programming
9780201699715,author_list,stephen d. huston; james ce johnson; umar syyid
9780201634921,title,win32 programming (addison-wesley advanced windows series) 2 volume set
9780201634921,author_list,brent e. rector; joseph m. newcomer
9780201633580,title,mfc programming
9780201633580,author_list,alan r. feuer
9780201615920,title,advanced use case modeling: software systems
9780201615920,author_list,frank armour; granville miller
9780201580433,title,on to c++
9780201580433,author_list,patrick henry winston
9780201543308,title,the design and evolution of c++
9780201543308,author_list,bjarne stroustrup
9780201489163,title,the student's guide to doing research on the internet
9780201489163,author_list,dave campbell; mary campbell
9780201400090,title,an introduction to the analysis of algorithms
9780201400090,author_list,sedgewick; robert; flajolet; philippe
9780201310054,title,effective java programming language guide
9780201310054,author_list,joshua bloch
9780201137446,title,functional programming : practice and theory
9780201137446,author_list,bruce j. maclennan
9780131872899,title,learning to program with alice
9780131872899,author_list,wanda p. dann; stephen cooper; randy pausch
9780131463059,title,core javaserver faces
9780131463059,author_list,david geary; cay horstmann
9780131227064,title,patterns of problem solving (2nd edition)
9780131227064,author_list,moshe f. rubinstein; iris r. firstenberg
9780130494986,title,tools for structured and object-oriented design: an introduction to programming logic; sixth edition
9780130494986,author_list,marilyn bohl; maria rynn
9780130284464,title,practical introduction to data structures and algorithm analysis (c++ edition) (2nd edition)
9780130284464,author_list,clifford a. shaffer
9780126445510,title,data modeling essentials 3/e
9780126445510,author_list,graeme simsion; graham witt
9780124499751,title,on time technology implementation: how to achieve implementation success with limited time and resources
9780124499751,author_list,bennet p. lientz; kathryn p. rea
9780122290633,title,3d game engine design; second edition: a practical approach to real-time computer graphics (the morgan kaufmann series in interactive 3d technology)
9780122290633,author_list,david h. eberly
9780120887972,title,joe celko's sql programming style (the morgan kaufmann series in data management systems)
9780120887972,author_list,joe celko
9781555581992,title,digital unix system administrator's guide (hp technologies)
9781555581992,author_list,matthew cheek
9780072232172,title,mcse windows server 2003 active directory infrastructure study guide (exam 70-294) with windows? server 2003 180-day trial software
9780072232172,author_list,dennis suhanovs; press certification; certification press
9780072226331,title,security+ certification all-in-one exam guide
9780072226331,author_list,gregory white
9781558609358,title,understanding your users: a practical guide to user requirements methods; tools; and techniques (the morgan kaufmann series in interactive technologies)
9781558609358,author_list,catherine courage; kathy baxter
9781558609341,title,bluetooth application programming with the java apis (the morgan kaufmann series in networking)
9781558609341,author_list,c bala kumar; paul kline; tim thompson
9781558609198,title,database modeling with microsoft visio for enterprise architects
9781558609198,author_list,terry halpin; ken evans; pat hallock; bill maclean
9781558608726,title,stochastic local search : foundations &amp; applications (the morgan kaufmann series in artificial intelligence)
9781558608726,author_list,hoos; holger; stutzle; thomas
9781558608597,title,policy-based network management : solutions for the next generation (morgan kaufmann series in networking)
9781558608597,author_list,john strassner
9781558608467,title,multicast sockets: practical guide for programmers (the practical guides)
9781558608467,author_list,david makofske; kevin almeroth
9781558608290,title,bioinformatics: managing scientific data (the morgan kaufmann series in multimedia and information systems)
9781558608290,author_list,zoe lacroix
9781558605954,title,swarm intelligence
9781558605954,author_list,james kennedy; russell c. eberhart
9781558605718,title,integrated management of networked systems : concepts; architectures and their operational application (the morgan kaufmann series in networking)
9781558605718,author_list,heinz_gerd hegering; et al
9781558604544,title,readings in information retrieval (morgan kaufmann series in multimedia information and systems)
9781558604544,author_list,karen sparck jones
9781555582609,title,computer systems performance evaluation and prediction
9781555582609,author_list,paul fortier; howard michel
9781555582180,title,digital visual fortran programmer's guide (hp technologies)
9781555582180,author_list,michael etzel; karen dickinson
9780750673273,title,information assurance managing organizational it security risks
9780750673273,author_list,daniel jennings; joseph boyce
9780444506733,title,parallel computational fluid dynamics 2000: trends and applications
9780444506733,author_list,c. b. jenssen; t. kvamdal; h. i. andersson
9780201776317,title,tcp/ip illustrated; 3 vols.
9780201776317,author_list,w. r. stevens; gary r. wright
9780201379235,title,stl tutorial and reference guide: c++ programming with the standard template library (2nd edition)
9780201379235,author_list,david r. musser
9780123704528,title,java data mining: strategy; standard; and practice: a practical guide for architecture; design; and implementation (the morgan kaufmann series in data management systems)
9780123704528,author_list,hornick; mark f. marcade; erik venkayala; sunil
9780120455997,title,xml in data management : understanding and applying them together (morgan kaufmann series in data management systems)
9780120455997,author_list,peter aiken; m. david allen
9781555582746,title,tru64 unix troubleshooting : diagnosing and correcting system problems (hp technologies)
9781555582746,author_list,martin moore; steven hancock
